,Pair,Group,IFGr_IFGr_vid,IFGl_IFGl_vid,TPJr_TPJr_vid,TPJl_TPJl_vid,IFGl_IFGr_vid,IFGr_TPJr_vid,IFGr_TPJl_vid,IFGl_TPJr_vid,IFGl_TPJl_vid,TPJr_TPJl_vid,IFGr_IFGr_int,IFGl_IFGl_int,TPJr_TPJr_int,TPJl_TPJl_int,IFGl_IFGr_int,IFGr_TPJr_int,IFGr_TPJl_int,IFGl_TPJr_int,IFGl_TPJl_int,TPJr_TPJl_int
0,1,IC,0.24282010524296,0.2519890546272285,,,0.2620022799483728,0.24912424978292902,0.266695890539447,0.23759833360536847,0.236831452157718,,,0.2567567773755035,,,0.261954096577881,0.229777379249472,0.248249763406884,0.2781027348922185,0.271564769038636,
1,1,IL,0.31686430043207703,0.28274163687945997,0.3236391375491045,,0.3148153118642585,0.25900344720497825,0.28752072666690154,0.27275635380518376,0.239378409890026,0.40672513371343,0.22251910171481548,0.31481035093186405,,,0.26298015826758575,0.319183623178128,0.2389004093570185,0.20842151051070298,0.291758710258055,
2,1,NIC,0.2623330008267425,,,,0.273123400057098,0.2845368497106885,0.23283264726678649,,,,,0.270902805439836,,,0.3248838252852775,0.255685686788292,0.255992090799004,0.2380293073589545,0.25182659402296104,
3,1,NIL,,0.19795817535898752,,,0.2249416258675665,,,0.250079899793466,0.2985317641095075,,0.354665882855991,0.2846530472975215,,,0.2690889410323785,0.356290539186149,0.282786391726854,0.2032183454716795,0.207984405418468,
4,2,IC,,0.310372185118357,,,0.341253535473966,,,0.2142441925546555,0.201636345881202,,,0.2377269226689645,,,0.2112024886619685,,,0.287224496732285,0.2383815611103805,
5,2,IL,0.2713063656924805,0.26458301394211803,0.326199572335454,0.35905376398828404,0.25185877270004076,0.234838325882113,0.22937358693542326,0.24958363950904974,0.270011336785834,0.32988201842325504,0.3450655208237085,0.2521572032389095,0.25154667290024,0.259224377699314,0.32306795127715876,0.29564536279243403,0.284780060404233,0.2654243497662485,0.26538106483760376,0.25644083616439
6,2,NIC,0.269515454804488,0.25271428701799004,,0.302375990383424,0.24958620896862752,0.2842204426360055,0.28009987852658025,0.265514979092691,0.258193669782727,0.3035918511194305,,0.236075084264784,,0.2430912371576125,,,,,0.2364973740472605,
7,2,NIL,0.38115590630639495,0.2244184450828465,0.331454492234643,0.3313553802052565,0.28059492306358924,0.27765952979444397,0.30143959206883475,0.28893128026667,0.30263140614504025,0.3352223499341425,0.294539041973303,0.21711357734252001,0.22589739900710198,,0.31573873808827224,0.22388947898713224,0.290217049391639,0.272834565984355,0.2572570548240495,0.26413253521811353
8,3,IC,0.3248377447017845,0.29392237229249496,0.2106775125501935,0.2100505898878745,0.30234750439109526,0.2774485841232925,0.26281163319480577,0.28717891161966275,0.29337518390133255,0.21177197788528748,0.251327479233008,0.342318678182778,0.2261589586024515,0.24192992423014198,0.28734685133027127,0.27049888523788373,0.25650747766779297,0.25897188183768327,0.237201530077153,0.24903830456216502
9,3,IL,0.306770278761684,0.301203148209493,0.342400615716391,0.317585998613704,0.3056219011988072,0.25684439443449875,0.3014602737607788,0.265873849010036,0.270611926805658,0.33264072550322377,,0.253766617959478,0.359438563524399,0.297128516490232,0.26210336627331,0.290096116546714,0.237573925935095,0.289834783302588,0.23868853459483502,0.30080128835304354
10,3,NIC,0.297423991181634,0.3031120342926545,,0.181713353180816,0.29550188361986574,0.329839867828645,0.2974352893332902,0.305328699788535,0.2789788094949325,0.180421765026017,0.29835316411247204,0.3326312153515125,,,0.3068442470039705,0.2656873903613325,0.288748884645758,0.2862117882523235,0.31199889192090746,
11,3,NIL,0.23883755446163699,0.2643555339868825,0.2919174993883825,0.312880508753029,0.23279698323650475,0.29666815931539026,0.28080982451915376,0.27876754996442177,0.28395230156122947,0.32504859503078376,0.3175921878678145,0.2825004281741175,0.358521755250237,0.291585945522671,0.28567729537396025,0.319481612155461,0.3624872441422425,0.25469455874473423,0.335280157388547,0.24422247374040051
12,4,IC,0.3461989878020425,0.318397794813868,0.253354166018932,0.2389475259862045,0.3408862341544815,0.29878088384698775,0.279587784379812,0.2794142618504265,0.25684269401107274,0.258004300837406,0.352006711091686,0.2654145868724145,0.2606952470739445,0.2367503489462765,0.2697886101070245,0.294033339343986,0.3114512287216565,0.29752137924435496,0.3441739457940862,0.264295196634842
13,4,IL,0.2664851815914595,0.2831301070404695,0.17628339270229249,,0.314012281776293,0.29286316210725727,0.270393101906938,0.240217806808052,0.2455755985339005,0.2249944244294045,,,0.2826600978456115,,,0.2128638267518965,,0.2344220600088585,,0.3070378608272015
14,4,NIC,0.18911734978210049,0.2084494562120175,0.268913664827267,0.28003177217304853,0.198343753040836,0.21328709456736877,0.25487837708690375,0.2623179272285885,0.27319730624537475,0.271656509942245,0.179802149370532,0.353239635644929,,0.256978434109582,0.31439620057539497,0.231953030153231,0.35086610518031325,0.39106563740052447,0.3229967737736375,0.2688584946132335
15,4,NIL,0.36944050654816396,0.2361619595221925,0.28430866803176247,0.277101580888912,0.287957861222393,0.2642920416000403,0.264117253207462,0.31577055955823724,0.26120319729791674,0.293221339601956,,0.32405487844625547,0.329207453008393,0.2427639011553765,0.314003015950208,0.25304661673373696,0.28121138335721796,0.29555935827152724,0.27532515364437404,0.322090197354662
16,5,IC,0.3309147811793055,0.262322465237824,,,0.34103610683770874,0.2089041498044345,0.2219116845584535,0.2299929255792445,0.2206523045846565,,0.234198841550119,0.282587455625389,,,0.24353944162823676,0.278947253088285,,0.399401863357241,,
17,5,IL,0.306969711968776,0.2666882929787865,,0.3151767588420915,0.27649043744399904,0.22484294063510102,0.26299613544662576,0.277923317135022,0.28503279128340253,0.24887321166522197,0.2551148329811125,0.321576617439495,,0.270462715619173,0.28223004917053174,0.3271846057679685,0.33366056732865745,0.3623959216681035,0.3554851558948905,0.298086358147024
18,5,NIC,0.31342605499013654,0.332551574071619,0.3047295189173605,0.3916932862326715,0.3588204599714012,0.30305013366745126,0.34461817350001045,0.297659590039587,0.31799983002343724,0.3171746591022713,0.3169718848123595,0.204336640400985,0.2564774430475355,0.2624790324453645,0.22776851187452873,0.28130841105086746,0.276161819477251,0.257285008523911,0.2513156104634915,0.25687796025788645
19,5,NIL,0.205135628063537,0.256172289645699,0.32682756754195297,0.33268464879909954,0.27590451079890826,0.28638816160269676,0.33075223840226026,0.2687089193643103,0.28329638943324176,0.3455313958889565,0.254280769165434,0.231370667410631,0.277939797391228,0.2991739441333715,0.2193960661466435,0.33060109123631654,0.25857728220682225,0.2938464162604373,0.2726648252730785,0.26062559950088726
20,6,IC,0.2645855557204895,0.2576606498036675,0.236596152272669,0.2930743426283785,0.2768770034865635,0.2511308627071925,0.245770090127065,0.28775740953534645,0.2633119926948615,0.229668973302489,0.1843106439081865,0.286641649837034,0.2541687301024105,0.282218756426542,0.24847875054534052,0.2626938081731885,0.24500680805077102,0.322261205823624,0.320385657057612,0.281943137525428
21,6,IL,0.258468010123331,0.24197893841130852,0.2489653724444,0.325508327332254,0.2684062694758452,0.25019246924140104,0.256226341173389,0.25305485108961223,0.2852845085792115,0.25757271755167627,0.325827572636404,0.2998695709484025,0.2070138794458925,0.266435680508556,0.26340312288888,0.2771312956465305,0.3114176708113172,0.337312326055826,0.327338581713899,0.29585693487170295
22,6,NIC,,0.2830898137689605,,,0.29194073220322747,,,0.24506389695071001,0.2678644499043525,,,0.213914607055313,,,,,,0.26854580850535303,0.30357212428133995,
23,6,NIL,,0.2627715369941985,,,0.3090603193989375,,,0.291033978744494,0.2347382746125615,,,0.295829578925831,,,0.28543752985947646,,,0.2611167975915075,0.2796367942210375,
24,7,IC,0.4154224494571655,0.295611305302437,0.3038700343746165,,0.3399790026532288,0.259578226531739,0.279062624176464,0.27445990919117774,0.265742519096333,0.3014397566090795,0.220320684571339,0.3297125187905345,0.261258594396775,,0.277406925551889,0.24408734815707522,0.27565108964075447,0.314107758996274,0.284452365813904,0.328906690956518
25,7,IL,0.2388405907138405,0.23215276062040352,,,0.236173832229015,0.2535999942949445,0.23640073959448,0.217748323306921,0.2356069611522535,,,0.2208685433065575,,,0.262983225442594,,,0.288099343727442,0.248724759887401,
26,7,NIL,,0.323490548511982,0.226135606964736,0.194651121788706,0.24106692922281198,0.322322335436475,0.345542302457729,0.25238589775585374,0.3315099761031455,0.2132073955638395,,0.296344205992506,0.28511075001507147,,,,,0.264995511200837,0.2867229929453175,0.283392054066115
27,8,IC,0.2612789665009695,0.2618268189761035,0.1998908661241255,0.235616120084228,0.2756083329036565,0.2314199598013195,0.21505484511677275,0.24426403245052475,0.23546161535388926,0.22641360210461173,0.30779599027765203,0.288118255617414,,,0.3205120214314985,0.3517182814799485,0.235172165623791,0.2554474020174665,0.24607166969587452,
28,8,IL,0.3173390548262665,0.22495828538379298,0.301657242920149,0.300738925712554,0.287131975336309,0.3677484898761455,0.34146014808225,0.30800456876668425,0.3300544609319698,0.2955073923646583,0.3063477612275405,0.2432424900857485,,0.2357433600398475,0.29423710409888526,0.31098122106701054,0.2655330195729617,0.23366511331455397,0.2835513085972833,0.27039563564831803
29,8,NIC,0.3083895592589055,0.29912237290332,0.28083079602665195,0.299610024874466,0.29780831192658574,0.256000158866227,0.2862352002246855,0.2748395650425673,0.27193403112030423,0.3135752695263322,0.233762342860123,0.226867386714456,,,0.26659067705620654,0.2781059009615245,0.316645730294948,0.3572850621809005,0.279241049481547,
30,8,NIL,0.2503998021763705,0.314476100414977,0.29331682876647747,0.289655573724973,0.2443810747436495,0.2860833041925215,0.241572903683484,0.2716361191482943,0.28593853930822477,0.3056789602226695,0.3009007448806375,0.2487752674090295,0.27915744955731603,0.342890378589217,0.2922571053111097,0.2789093411426875,0.21806488252455675,0.2732693014698617,0.3075651145349482,0.24023545378537525
31,9,IC,0.2790426011366815,0.295821706374171,0.2588927577216485,0.2272604442105705,0.3516336317665235,0.26288056929054904,0.26288912306960555,0.2534310756291665,0.2585676298385893,0.23930522424004652,0.236058715405599,0.24658518583376848,0.28008890485535254,0.23560226642104298,0.2625142016295108,0.22273875163484874,0.2251023110123495,0.313162418515582,0.27815773430254576,0.32108476635654326
32,9,IL,,0.306969405678914,0.396414658663892,,0.237935231692143,0.22777227977959,,0.26506669751573775,0.27726050662241697,0.33491407866714,,0.2454899876563725,,,0.387537909641065,,,0.172112680993776,0.253684538080351,
33,9,NIL,0.223604979072756,0.29353156999290253,0.216314130994172,0.22485729808128602,0.2769088751312635,0.2952772769648375,0.283892742598688,0.25991423843647377,0.25826356854364924,0.24662598956203974,0.230124468766164,0.2533341319929525,0.3602892778264185,0.30728246343903254,0.26383023097436925,0.28718096525493175,0.2949084534990313,0.3366993410952037,0.3254983951792455,0.2648667948179717
34,10,IC,0.3166214125374935,0.280129459831853,0.3043673720271905,,0.2847181370830442,0.2944743726932725,0.3039088554607005,0.24479643330382828,0.24819807498913798,0.28562476375251655,0.21761076130845902,0.3129466913458595,0.300542910066639,,0.2650300624263545,0.23242864459739698,0.343135744693865,0.267115689517257,0.2787292018348505,0.351552788472102
35,10,IL,0.343965374122144,0.319216717908396,,,0.28625423116684073,0.3405299750020325,0.228834939418825,0.32655048962419153,0.285630699620795,,0.41894074387766,0.283156950875711,,,0.33174360499653927,0.25052508008019947,0.2346002164372105,0.308743292901278,0.296449023791367,
36,10,NIC,0.205448286030654,0.2804156598476155,0.241554553751407,0.263364565788617,0.29279744813713077,0.3300762315382755,0.27326362631935996,0.3276612144982842,0.26273238378735875,0.2619338749596505,,0.2996757518139595,0.438461546262969,0.2653383141715865,0.378239353052221,0.2053586111673505,0.272330938057319,0.3309731343027855,0.2813889716488785,0.3346417335647768
