,Participant,Comfort_Post,Likeable_Post,More_Time_Post,Group,Pair,Mean_liking_Post
0,A,6.0,6.0,0.0,IL,01,4.0
1,B,7.0,7.0,7.0,IL,01,7.0
2,A,7.0,8.0,4.0,IL,02,6.333333333333333
3,B,7.0,7.0,7.0,IL,02,7.0
4,A,8.0,8.0,6.0,IL,03,7.333333333333333
5,B,8.0,8.0,6.0,IL,03,7.333333333333333
6,A,7.0,7.0,6.0,IL,04,6.666666666666667
7,B,7.0,7.0,6.0,IL,04,6.666666666666667
8,A,7.0,7.0,7.0,IL,05,7.0
9,B,8.0,8.0,7.0,IL,05,7.666666666666667
10,A,6.0,7.0,5.0,IL,06,6.0
11,B,7.0,7.0,5.0,IL,06,6.333333333333333
12,A,5.0,5.0,3.0,IL,07,4.333333333333333
13,B,6.0,7.0,5.0,IL,07,6.0
14,A,5.0,8.0,8.0,IL,08,7.0
15,B,8.0,7.0,7.0,IL,08,7.333333333333333
16,A,7.0,7.0,7.0,IL,09,7.0
17,B,7.0,7.0,7.0,IL,09,7.0
18,A,8.0,8.0,8.0,IL,10,8.0
19,B,8.0,8.0,8.0,IL,10,8.0
20,A,5.0,4.0,3.0,IL,11,4.0
21,B,7.0,7.0,4.0,IL,11,6.0
22,A,7.0,7.0,5.0,IL,12,6.333333333333333
23,B,7.0,7.0,7.0,IL,12,7.0
24,A,6.0,6.0,5.0,IL,13,5.666666666666667
25,B,7.0,7.0,5.0,IL,13,6.333333333333333
26,A,4.0,2.0,0.0,IL,14,2.0
27,B,6.0,5.0,4.0,IL,14,5.0
28,A,6.0,6.0,5.0,IL,15,5.666666666666667
29,B,7.0,7.0,6.0,IL,15,6.666666666666667
30,A,7.0,6.0,6.0,IL,16,6.333333333333333
31,B,4.0,2.0,0.0,IL,16,2.0
32,A,7.0,7.0,5.0,IL,17,6.333333333333333
33,B,6.0,5.0,3.0,IL,17,4.666666666666667
34,A,8.0,8.0,8.0,IL,18,8.0
35,B,6.0,8.0,4.0,IL,18,6.0
36,A,4.0,6.0,4.0,IL,19,4.666666666666667
37,B,7.0,6.0,4.0,IL,19,5.666666666666667
38,A,8.0,8.0,6.0,IL,20,7.333333333333333
39,B,7.0,8.0,5.0,IL,20,6.666666666666667
40,A,7.0,7.0,6.0,IL,21,6.666666666666667
